Cust_ID,Block,Ship_mode,Discount,Weight_gm,Cust_calls,Prior_purchases,Priority,Gender,Cust_rating,Cost,Timeliness
43,C,Ship,7,5974,3,2,medium,M,4,238,0
44,F,Ship,3,5571,6,4,medium,M,1,217,0
45,A,Ship,2,4492,5,3,low,M,4,145,1
46,C,Ship,2,1452,6,5,low,F,3,301,1
47,F,Ship,7,5580,4,10,medium,M,1,249,1
48,C,Ship,1,1258,6,4,low,F,2,263,1
49,C,Ship,10,4827,4,4,low,F,4,254,0
50,A,Ship,7,1727,7,4,low,F,5,301,0
51,B,Ship,4,4512,2,3,low,M,1,143,0
52,D,Ship,8,5478,4,2,medium,M,5,144,0
53,D,Flight,7,5943,3,4,medium,F,2,152,1
54,F,Ship,46,3076,4,2,medium,M,5,268,1
55,F,Ship,9,1257,3,3,medium,M,3,163,1
56,F,Flight,5,4624,4,3,low,M,4,153,0
57,A,Flight,9,5026,5,3,low,M,3,167,0
58,F,Flight,21,3559,3,6,low,M,5,240,1
59,F,Ship,9,5418,4,7,medium,M,4,186,0
60,B,Ship,2,1227,2,2,medium,F,2,168,1
61,D,Ship,2,4640,3,4,medium,F,5,157,0
62,A,Road,4,4423,6,6,medium,M,2,269,0
63,D,Ship,8,5083,3,2,medium,F,5,167,0
64,F,Ship,4,5501,3,3,medium,F,4,186,1
65,B,Ship,4,6000,5,2,medium,M,2,169,1
66,F,Flight,32,1718,3,2,medium,F,3,160,1
67,F,Ship,8,1754,6,4,low,F,3,276,1
68,F,Ship,7,1841,5,6,medium,F,1,221,1
69,B,Ship,10,5381,4,3,low,F,1,237,0
70,B,Road,5,4285,5,3,medium,M,5,237,1
71,A,Ship,8,1289,6,4,medium,F,2,309,1
72,D,Ship,4,4804,3,2,low,M,1,226,0
73,A,Ship,29,2164,3,3,low,F,2,181,1
74,F,Ship,7,4147,3,3,medium,F,5,136,0
75,A,Flight,10,4541,4,3,medium,M,3,181,1
76,F,Ship,9,1096,7,4,medium,F,2,247,1
77,A,Ship,46,3108,3,2,medium,M,4,234,1
78,D,Ship,4,5970,6,3,medium,F,2,173,0
79,A,Road,2,1540,7,4,medium,F,1,264,0
80,D,Ship,9,5735,3,2,low,M,4,203,0
81,A,Ship,58,2135,4,3,medium,M,3,206,1
82,B,Ship,31,3943,3,3,medium,M,2,243,1
83,A,Flight,8,1881,5,5,medium,M,5,248,1
84,A,Flight,10,5932,3,2,low,F,1,166,1
85,A,Flight,3,4310,4,3,medium,M,1,204,0
86,D,Ship,10,4380,3,2,low,F,5,224,1
87,F,Ship,4,1543,7,4,low,F,1,289,1
88,F,Ship,40,1117,3,2,medium,F,3,138,1
89,D,Ship,2,1312,5,5,low,M,3,252,1
90,F,Ship,6,3757,2,4,low,M,1,229,1
91,F,Ship,8,5198,4,3,medium,M,2,195,0
92,F,Ship,5,5964,3,3,low,M,4,168,0
93,D,Ship,9,1198,3,6,low,F,1,273,1
94,B,Ship,42,3145,5,3,medium,M,4,228,1
95,A,Ship,8,2000,4,5,medium,F,2,273,0
96,D,Flight,48,2399,4,5,low,M,1,207,1
97,F,Ship,2,1565,6,4,low,F,2,292,0
98,F,Ship,8,4770,5,7,medium,M,1,194,0
99,C,Road,4,4591,6,6,low,F,2,263,1
100,C,Ship,2,5923,3,2,low,M,3,141,0
101,D,Ship,7,1032,5,5,low,F,2,259,0
102,A,Road,9,1548,2,5,low,F,1,258,1
103,A,Road,10,1148,6,4,medium,M,2,294,0
104,C,Ship,51,1430,3,2,medium,M,4,174,1
105,F,Ship,8,4972,3,2,medium,F,4,162,0
106,F,Ship,1,4518,4,3,low,F,3,212,0
107,F,Flight,4,2769,3,4,medium,M,5,245,1
108,B,Road,9,1180,6,4,medium,M,4,285,0
109,F,Ship,21,2070,2,2,low,F,5,252,1
110,A,Ship,8,1785,3,4,medium,F,5,278,0
111,B,Ship,9,4466,3,2,medium,M,2,221,0
112,C,Flight,10,4532,4,3,high,F,4,248,0
113,F,Ship,2,4545,5,3,low,F,5,232,1
114,F,Flight,8,4959,3,3,medium,F,4,243,0
115,F,Flight,6,4802,4,5,medium,F,3,148,0
116,F,Ship,7,1897,4,3,medium,F,2,169,0
117,B,Ship,49,3573,3,2,medium,F,1,198,1
118,B,Road,9,5853,3,2,medium,F,1,166,1
119,F,Ship,5,4574,4,4,low,M,4,170,0
120,C,Ship,6,1129,4,5,low,F,1,261,0
121,B,Ship,2,1790,6,4,medium,F,1,300,1
122,B,Ship,9,4754,5,4,low,F,3,137,0
123,F,Ship,3,1398,5,5,medium,F,3,233,0
124,C,Ship,8,1426,4,5,low,M,1,263,1
125,D,Flight,7,4013,3,3,low,M,5,132,1
126,A,Ship,4,1318,5,5,medium,M,2,264,0
127,F,Flight,52,3009,4,6,medium,F,4,282,1
128,B,Ship,24,3621,5,10,low,F,4,186,1
129,D,Ship,7,4799,5,3,high,F,5,140,1
130,C,Flight,1,1793,7,4,low,M,3,307,1
131,F,Ship,57,1533,4,2,low,F,5,170,1
132,C,Ship,33,2129,4,3,medium,M,5,198,1
133,F,Ship,4,5964,5,6,medium,F,1,193,0
134,A,Flight,5,1590,4,5,high,F,3,266,0
135,F,Ship,3,5835,5,3,high,F,5,264,1
136,F,Ship,49,2341,3,2,medium,M,5,231,1
137,C,Ship,56,1408,3,4,low,F,4,160,1
138,F,Ship,62,2292,4,5,low,F,1,263,1
139,A,Ship,21,3746,3,3,medium,M,5,206,1
140,B,Road,2,1260,4,5,low,M,5,219,0
141,A,Road,60,1024,4,4,high,M,1,150,1
142,B,Flight,1,1778,5,5,low,F,4,257,1
143,B,Ship,4,4295,4,8,medium,M,1,201,0
144,B,Ship,8,5673,4,3,low,F,3,146,1
145,F,Ship,1,1817,7,4,medium,M,4,291,1
146,B,Flight,1,1835,5,5,low,F,3,232,1
147,C,Ship,4,1155,5,5,low,F,4,242,0
148,F,Ship,6,5713,3,6,low,M,5,174,0
149,A,Ship,7,4049,3,3,medium,F,2,149,1
150,F,Road,46,3594,3,2,medium,M,3,266,1
151,D,Ship,47,1727,5,5,low,F,1,162,1
152,B,Flight,63,3516,4,2,high,M,5,273,1
153,A,Ship,57,2078,4,2,low,M,3,214,1
154,B,Ship,5,4750,2,5,medium,M,3,243,1
155,F,Ship,10,4145,3,8,low,M,3,261,0
156,F,Ship,37,2215,3,3,low,M,4,209,1
157,F,Ship,1,4296,2,2,low,F,1,111,1
158,F,Ship,10,4979,3,3,medium,M,2,168,1
159,B,Ship,10,4641,4,2,medium,M,2,205,1
160,D,Road,12,1212,3,3,medium,F,2,125,1
161,F,Road,7,5682,3,2,low,M,1,135,0
162,C,Ship,37,2200,4,4,medium,M,2,187,1
163,B,Ship,3,5520,4,3,high,M,1,178,1
164,F,Ship,9,2236,5,8,medium,F,5,263,1
165,F,Ship,7,4042,4,2,low,M,4,272,1
166,A,Flight,23,3962,5,2,medium,M,2,260,1
167,F,Road,6,4897,3,2,low,M,1,257,1
168,C,Ship,13,1240,2,2,medium,M,4,120,1
169,D,Ship,9,1400,5,5,low,M,5,262,0
170,F,Ship,7,5368,3,2,low,F,1,251,1
171,F,Ship,6,3620,3,3,low,F,2,257,1
172,F,Road,6,4963,4,3,medium,M,2,173,0
173,D,Ship,9,5041,4,3,low,M,4,246,0
174,A,Ship,1,4697,2,3,low,M,2,199,1
175,F,Flight,7,5256,3,2,low,M,4,214,1
176,F,Ship,4,5817,2,4,low,M,2,146,0
177,F,Flight,10,1935,7,4,low,M,3,285,1
178,F,Ship,4,1783,7,5,low,F,3,133,1
179,D,Ship,6,4622,2,5,low,F,2,237,1
180,C,Ship,24,3829,2,3,high,F,3,274,1
181,F,Ship,3,1262,7,4,low,M,4,286,1
182,C,Ship,4,4022,2,6,medium,M,3,239,0
183,F,Ship,14,1554,5,3,high,M,5,171,1
184,B,Road,4,1151,7,4,low,F,1,309,0
185,C,Ship,10,4235,3,4,medium,M,4,162,0
186,C,Ship,7,1869,6,4,low,M,4,255,1
187,D,Ship,10,4165,2,6,low,M,1,277,0
188,D,Ship,58,3411,5,3,low,M,3,242,1
189,B,Ship,8,2334,3,3,medium,F,3,234,1
190,B,Ship,6,3496,3,3,medium,M,1,254,1
191,F,Ship,65,2598,4,3,low,F,5,206,1
192,D,Ship,7,4733,3,4,low,M,3,211,0
193,C,Ship,4,1618,4,5,medium,F,5,228,0
194,F,Road,2,5032,5,3,high,F,1,252,0
195,F,Flight,9,5230,4,2,medium,M,1,267,1
196,B,Flight,1,1252,3,3,low,M,1,167,1
197,B,Ship,15,3250,3,3,low,M,2,198,1
198,B,Road,30,2751,3,6,low,M,5,264,1
199,F,Ship,4,1399,3,3,low,F,3,239,0
200,B,Ship,3,4105,4,2,low,M,4,151,1
201,D,Flight,5,4613,4,3,medium,F,4,132,0
202,D,Ship,1,1539,4,5,medium,M,4,252,1
203,F,Ship,4,4268,3,3,medium,M,5,265,1
204,F,Ship,7,4411,3,3,low,F,4,226,1
205,A,Ship,9,4085,4,3,low,M,2,271,0
206,F,Ship,2,1593,5,5,high,F,5,237,1
207,F,Road,42,1465,3,3,low,F,2,140,1
208,C,Ship,3,4669,5,2,medium,M,5,154,0
209,B,Road,2,5856,4,4,low,F,4,192,1
210,D,Ship,10,1986,5,6,low,F,5,240,0
211,F,Road,4,4756,3,3,high,M,4,159,1
212,B,Flight,5,1169,4,2,low,F,2,167,1
213,A,Road,9,5093,3,3,high,F,1,204,0
214,C,Flight,2,5751,4,5,low,M,3,176,1
215,A,Ship,46,1736,4,4,low,F,2,270,1
216,B,Ship,1,5533,6,6,low,M,4,235,1
217,A,Ship,63,1953,3,6,medium,M,2,143,1
218,F,Flight,7,1818,5,5,low,F,1,228,0
219,B,Flight,7,3622,4,3,medium,M,5,268,1
220,F,Ship,6,5657,4,3,medium,F,3,249,1
221,F,Ship,1,4583,5,4,high,F,3,206,0
222,B,Flight,10,1278,6,3,medium,M,1,134,1
223,C,Ship,40,3106,4,4,medium,M,3,211,1
224,F,Road,1,4030,5,3,medium,F,4,274,0
225,A,Ship,6,4705,4,2,medium,F,2,154,1
226,A,Road,9,5721,3,4,medium,F,1,201,1
227,F,Flight,4,5611,5,3,low,F,4,254,1
228,A,Road,4,4631,3,3,medium,M,1,154,0
229,B,Road,4,4864,3,2,low,F,5,195,0
230,D,Flight,58,2544,3,5,medium,F,1,184,1
231,B,Ship,1,4328,5,4,low,M,2,225,1
232,B,Ship,8,4323,2,2,low,M,1,198,0
233,C,Ship,6,1118,7,4,low,F,2,281,1
234,F,Ship,4,5748,4,3,medium,F,3,235,1
235,F,Flight,51,1841,3,2,medium,F,1,153,1
236,F,Ship,9,4712,3,4,high,M,3,204,0
237,B,Flight,5,5049,4,5,low,F,1,173,1
238,F,Ship,10,5296,4,4,high,F,4,133,0
239,B,Flight,5,5607,5,3,low,M,2,232,1
240,C,Ship,1,5054,3,2,low,F,1,186,1
241,F,Ship,8,5516,4,2,low,F,2,266,0
242,C,Ship,4,4783,4,2,low,F,5,228,1
243,D,Ship,10,4927,4,2,medium,F,4,175,0
244,F,Ship,7,1666,5,4,medium,F,2,285,1
245,B,Ship,4,1594,6,4,low,F,2,286,0
246,F,Ship,9,3075,4,2,low,M,4,199,1
247,B,Ship,6,5266,4,2,low,M,1,208,0
248,F,Flight,6,4056,3,2,low,M,1,192,0
249,C,Road,10,1630,5,5,medium,M,3,236,0
250,F,Ship,7,4070,4,5,medium,M,4,177,1
251,F,Ship,27,3039,5,3,medium,F,5,182,1
252,F,Road,4,4793,4,3,low,M,3,173,1
253,C,Flight,7,5768,5,3,low,F,2,198,1
254,A,Ship,46,1550,7,3,low,M,5,192,1
255,B,Ship,36,3499,4,3,medium,F,1,224,1
256,D,Ship,2,4158,4,2,medium,M,3,269,0
257,C,Ship,2,1072,3,2,low,F,4,175,1
258,B,Ship,4,5716,3,3,low,F,4,169,0
259,D,Ship,61,2806,6,6,high,F,4,241,1
260,C,Ship,8,5845,5,3,low,M,1,250,0
261,B,Ship,8,1930,6,4,medium,F,2,309,0
262,A,Road,3,1689,4,4,low,M,1,192,0
263,D,Road,5,4950,3,3,low,F,4,150,0
264,D,Ship,5,4031,4,3,medium,F,3,149,0
265,A,Ship,2,4190,5,2,high,F,4,203,1
266,C,Ship,37,2563,4,2,medium,M,2,190,1
267,A,Ship,10,1784,5,5,low,M,3,239,0
268,F,Ship,2,5654,4,5,medium,F,5,159,1
269,F,Ship,7,5292,5,2,medium,M,4,275,0
270,B,Ship,8,4921,4,2,low,F,2,183,0
271,F,Ship,5,4125,5,2,low,F,1,244,1
272,B,Road,8,4535,5,3,low,M,4,260,0
273,D,Ship,5,5735,3,2,medium,M,4,154,1
274,D,Ship,2,1163,6,4,low,F,5,256,0
275,D,Flight,7,1303,5,5,medium,F,3,270,1
276,F,Ship,9,4458,5,2,low,M,3,251,0
277,F,Road,8,1864,6,5,medium,F,3,281,1
278,F,Flight,4,1768,6,4,low,M,2,243,0
279,A,Ship,2,5276,5,2,medium,F,4,269,0
280,A,Ship,6,5508,4,3,medium,M,4,149,0
281,F,Ship,4,5860,3,3,medium,F,1,237,0
282,D,Ship,6,1460,4,5,low,M,5,235,0
283,D,Road,7,4318,3,3,low,M,1,174,1
284,D,Ship,5,1952,4,5,low,F,4,260,1
285,F,Ship,30,1569,3,3,medium,F,5,146,1
286,C,Ship,15,3798,5,2,low,M,1,227,1
287,F,Road,6,5701,3,2,low,M,1,209,1
288,A,Flight,8,4909,3,10,medium,M,5,245,1
289,F,Ship,6,5729,4,2,medium,M,2,201,0
290,B,Ship,13,2219,6,10,medium,F,3,221,1
291,A,Ship,2,1057,5,5,medium,F,3,232,1
292,D,Ship,38,3031,4,3,low,M,5,188,1
293,A,Road,36,1278,5,2,medium,F,5,170,1
294,D,Ship,9,1460,6,4,low,F,5,252,0
295,F,Ship,6,1438,4,5,low,F,2,275,0
296,D,Flight,4,4746,3,2,low,M,3,185,0
297,D,Road,5,4424,5,2,low,M,4,223,1
298,C,Ship,7,5546,4,2,low,M,2,233,1
299,B,Road,8,5786,5,3,medium,F,3,267,1
300,D,Ship,7,1046,6,4,low,F,2,291,0
301,F,Ship,54,1536,5,3,low,M,5,163,1
302,A,Road,5,1097,5,6,medium,F,2,269,0
303,F,Ship,10,5844,3,2,low,F,4,204,1
304,C,Ship,3,5391,5,2,medium,F,1,241,1
305,F,Flight,4,4541,5,4,medium,M,4,135,0
306,C,Flight,3,1782,4,5,low,M,4,264,0
307,D,Ship,31,1262,6,4,medium,M,5,176,1
308,C,Ship,10,4790,5,5,medium,F,2,121,0
309,D,Ship,55,2387,4,2,low,M,3,246,1
310,A,Road,1,5922,3,3,high,M,4,186,1
311,F,Flight,4,1739,7,4,medium,M,3,306,1
312,C,Ship,7,5522,3,2,low,M,2,186,0
313,A,Ship,13,2442,6,6,low,F,1,238,1
314,D,Road,4,4914,3,4,medium,F,1,267,1
315,F,Flight,8,5016,5,3,high,M,3,134,0
316,F,Flight,57,3807,2,2,medium,F,5,216,1
317,C,Road,4,5383,3,3,medium,F,1,194,1
318,D,Ship,3,4103,4,3,high,F,2,244,0
319,C,Ship,1,5011,5,4,low,M,1,251,1
320,D,Ship,64,1910,4,2,medium,F,3,143,1
321,B,Ship,4,1733,5,5,medium,F,3,237,1
322,D,Ship,39,1477,2,3,medium,F,3,159,1
323,D,Ship,3,5718,5,4,low,M,3,217,1
324,D,Road,49,3225,3,3,low,F,4,204,1
325,F,Ship,43,3439,3,3,medium,F,2,264,1
326,A,Flight,5,5612,5,2,medium,M,3,143,1
327,D,Road,7,4462,5,3,low,M,3,132,1
328,C,Ship,58,2758,5,2,medium,M,2,243,1
329,F,Ship,3,5901,4,5,medium,M,4,201,1
330,B,Ship,62,2849,3,2,low,F,4,185,1
331,F,Flight,3,4167,2,10,high,M,4,274,1
332,D,Ship,38,7640,2,3,medium,F,3,142,1
333,F,Road,5,5733,2,3,medium,M,3,201,1
334,B,Road,8,5709,3,3,medium,M,2,188,0
335,A,Ship,2,4024,4,4,medium,M,1,267,0
336,C,Ship,13,3492,5,3,medium,M,1,189,1
337,F,Ship,10,5696,3,3,low,F,3,145,0
338,B,Ship,44,1647,5,2,low,M,1,166,1
339,D,Flight,10,5448,2,5,low,M,4,170,0
340,B,Flight,14,3528,3,2,medium,M,4,200,1
341,C,Flight,9,5237,5,5,low,M,2,156,0
342,F,Ship,7,4881,4,6,medium,M,5,134,1
343,C,Ship,4,4298,5,3,high,M,4,245,0
344,F,Ship,51,3191,2,3,medium,F,3,188,1
345,C,Road,24,1658,4,5,low,M,5,163,1
346,D,Flight,10,5073,3,2,medium,F,1,191,0
347,B,Ship,10,3128,4,2,medium,M,2,256,1
348,A,Ship,9,4334,4,2,low,M,2,148,0
349,A,Ship,46,3306,3,2,medium,M,4,228,1
350,A,Ship,8,1867,6,4,medium,M,4,271,0
351,F,Ship,3,4343,5,3,low,F,3,187,0
352,A,Flight,10,5594,3,2,low,F,1,154,1
353,B,Ship,1,5695,3,3,medium,F,1,244,1
354,F,Road,3,5233,4,4,low,M,3,134,0
355,B,Ship,3,5910,3,6,medium,F,4,231,1
356,C,Road,30,2867,3,3,low,M,2,268,1
357,F,Ship,7,5990,2,3,medium,F,1,166,1
358,A,Ship,6,5486,5,4,low,M,2,205,0
359,C,Ship,6,1761,6,4,high,F,5,278,0
360,D,Ship,7,5248,5,2,low,F,3,270,1
361,B,Ship,9,4425,4,3,medium,F,4,181,1
362,A,Ship,20,2266,3,2,medium,F,4,198,1
363,F,Road,3,1006,6,4,low,M,3,269,0
364,A,Road,6,5603,3,10,medium,F,1,164,0
365,B,Ship,25,1048,3,3,low,F,4,161,1
366,F,Ship,1,5840,3,2,medium,M,4,243,1
367,F,Ship,1,5993,3,5,medium,M,2,113,0
368,A,Ship,7,5401,4,5,medium,F,4,208,0
369,A,Road,6,1580,6,4,low,M,4,282,0
370,A,Ship,8,4692,3,4,low,M,1,257,1
371,F,Flight,2,5600,5,4,high,F,1,226,0
372,D,Road,3,4449,3,3,low,F,4,175,0
373,B,Ship,5,5339,5,6,high,M,2,195,1
374,F,Flight,6,4600,4,3,low,F,4,175,1
375,B,Ship,65,1184,3,2,medium,M,3,162,1
376,F,Ship,6,5748,4,3,medium,F,3,153,0
377,F,Road,3,4817,4,2,low,F,4,224,0
378,F,Flight,9,5653,2,3,low,F,3,223,0
379,D,Flight,1,4184,3,4,low,F,2,168,1
380,D,Ship,19,1366,3,3,low,F,3,135,1
381,D,Flight,7,1172,6,4,low,F,4,305,1
382,D,Ship,18,2435,3,2,low,M,3,267,1
383,D,Ship,5,1360,5,5,low,F,4,217,1
384,D,Flight,6,4076,4,2,high,M,4,210,0
385,F,Ship,10,4128,5,3,low,F,2,182,1
386,F,Ship,2,1980,6,4,medium,F,5,244,0
387,B,Ship,4,1248,7,4,high,M,4,291,1
388,B,Ship,10,4880,3,3,high,F,4,122,0
389,A,Ship,42,2762,4,4,medium,F,1,222,1
390,F,Ship,3,4067,3,3,medium,F,4,199,0
391,F,Ship,7,1440,5,5,medium,M,5,266,0
392,F,Road,10,4316,4,3,low,M,3,250,0
393,C,Ship,1,4395,4,2,low,M,5,141,1
394,B,Ship,10,5591,5,3,low,M,5,167,0
395,D,Flight,4,5289,4,3,low,F,3,235,1
396,C,Road,8,4709,6,5,medium,F,4,150,0
397,C,Flight,2,4425,3,3,low,M,1,239,0
398,F,Road,60,1722,3,4,low,F,3,147,1
399,D,Flight,1,4476,3,3,medium,F,1,237,1
400,D,Ship,14,1686,4,4,low,M,3,180,1
401,B,Ship,21,1014,4,4,low,M,5,212,1
402,C,Ship,7,4119,6,3,medium,M,5,204,0
403,F,Ship,43,1518,3,3,low,F,3,113,1
404,F,Flight,4,4192,3,8,high,M,4,239,0
405,A,Ship,4,4756,4,3,low,M,4,239,0
406,C,Ship,30,3955,2,2,low,F,4,206,1
407,F,Flight,64,1847,4,3,medium,F,4,173,1
408,C,Ship,52,1824,5,7,medium,M,4,178,1
409,A,Ship,4,4208,3,3,medium,F,2,228,0
410,F,Road,5,4861,3,3,low,F,5,241,1
411,F,Ship,5,1092,6,5,medium,F,3,244,0
412,C,Ship,54,2427,3,2,medium,F,3,205,1
413,B,Ship,1,1147,5,2,low,M,3,156,1
414,C,Ship,65,1228,3,3,medium,F,3,160,1
415,F,Road,7,5531,3,2,medium,F,2,199,1
416,C,Ship,1,4208,5,3,low,F,4,184,1
417,B,Ship,12,2708,4,5,medium,F,4,226,1
418,B,Ship,3,4930,3,2,medium,M,4,238,0
419,F,Ship,4,1281,6,5,medium,F,2,293,0
420,B,Ship,10,1628,6,4,medium,M,5,294,1
421,F,Ship,57,1833,3,3,low,M,1,160,1
422,F,Ship,4,4290,3,8,medium,F,1,269,0
423,B,Road,47,1023,5,3,medium,M,2,137,1
424,B,Ship,7,1774,5,6,low,F,2,262,0
425,D,Ship,2,4718,3,3,medium,M,2,189,0
426,A,Ship,32,2931,3,10,medium,M,5,190,1
427,B,Ship,9,5932,3,2,low,M,1,210,0
428,C,Ship,3,1527,4,5,medium,M,1,277,1
429,A,Ship,8,1691,6,4,low,F,4,306,1
430,B,Road,3,4741,4,3,medium,M,5,259,1
431,B,Road,10,5401,3,2,low,M,2,227,0
432,D,Flight,4,4604,6,3,high,F,3,226,1
433,A,Ship,7,2878,3,3,low,F,4,210,1
434,B,Ship,9,1567,6,4,low,F,2,305,0
435,F,Ship,9,4896,4,3,low,F,2,224,0
436,A,Road,2,4887,4,3,medium,F,5,163,0
437,D,Road,5,1876,5,5,medium,F,2,268,1
438,F,Ship,3,5700,5,3,medium,M,5,243,1
439,F,Flight,52,3519,3,3,medium,M,5,233,1
440,B,Ship,7,5519,5,4,medium,M,1,241,1
441,C,Ship,3,5062,4,3,medium,F,3,143,1
442,D,Ship,9,4278,3,3,medium,M,1,156,0
443,B,Ship,4,4102,3,3,low,M,2,179,1
444,A,Ship,3,5746,3,3,low,F,3,206,1
445,C,Ship,3,2241,4,2,low,F,1,238,1
446,F,Road,1,4952,6,3,low,F,3,171,0
447,A,Ship,8,4337,4,10,medium,M,3,134,0
448,D,Road,33,3269,4,2,high,M,1,271,1
449,A,Ship,16,1343,3,3,medium,F,3,143,1
450,F,Road,1,1883,6,4,low,F,4,260,0
451,C,Ship,6,5061,4,4,medium,M,5,176,0
452,C,Ship,2,4303,2,5,medium,F,4,158,1
453,A,Ship,3,5807,4,5,low,F,2,144,1
454,F,Ship,2,5890,5,10,high,F,5,266,0
455,C,Road,2,5760,3,3,low,M,1,182,0
456,B,Road,8,5614,4,3,medium,M,4,204,0
457,A,Ship,2,1400,5,5,low,M,4,223,0
458,A,Ship,3,1224,4,5,medium,M,3,225,0
459,C,Flight,3,4617,3,2,medium,F,2,189,0
460,C,Ship,8,1904,6,4,low,F,2,245,0
461,D,Flight,7,5543,4,2,medium,F,4,244,1
462,C,Ship,8,4594,3,2,low,F,1,245,1
463,C,Ship,42,3621,3,4,medium,M,1,187,1
464,F,Ship,29,3496,3,4,low,M,1,225,1
465,B,Ship,1,1327,5,6,low,M,4,226,0
466,F,Ship,54,1203,4,5,low,F,4,166,1
467,D,Ship,7,4632,2,3,low,F,3,197,0
468,C,Ship,65,3485,4,2,medium,M,3,200,1
469,B,Ship,10,5337,3,3,low,F,3,181,0
470,C,Ship,7,5026,4,2,low,M,2,152,0
471,D,Road,5,5460,4,3,high,F,4,251,0
472,F,Ship,64,1689,2,2,medium,M,3,164,1
473,F,Ship,10,5883,4,3,low,F,3,125,0
474,F,Ship,9,1006,4,3,medium,M,1,178,1
475,B,Flight,2,1255,4,5,medium,M,2,255,0
476,A,Flight,28,1313,3,2,low,M,1,145,1
477,F,Flight,10,4790,5,2,low,M,5,203,1
478,D,Ship,46,3938,3,4,low,F,5,223,1
479,C,Ship,13,2850,4,3,medium,F,2,243,1
480,A,Road,18,1537,4,2,medium,M,3,152,1
481,B,Road,8,1867,5,5,medium,F,5,265,0
482,F,Ship,5,1702,5,6,low,M,2,244,1
483,D,Ship,10,4208,3,3,high,F,1,165,0
484,F,Road,3,1786,4,5,low,F,3,270,1
485,A,Ship,3,4030,5,2,low,M,2,266,0
486,A,Ship,5,4743,5,3,medium,F,3,113,0
487,A,Ship,15,1181,6,5,medium,F,4,138,1
488,B,Ship,9,5390,2,4,medium,M,3,263,0
489,F,Ship,8,4926,4,2,low,M,1,140,0
490,F,Ship,9,4305,4,3,low,M,4,231,1
491,A,Ship,8,1404,6,4,low,M,1,283,0
492,F,Ship,3,1586,6,4,medium,F,4,268,0
493,F,Ship,8,4531,5,3,medium,F,1,183,0
494,F,Ship,2,4746,3,3,low,M,1,268,1
495,F,Ship,2,5022,4,2,low,M,1,272,0
496,B,Road,10,4240,5,2,low,F,1,168,0
497,D,Ship,1,5500,2,3,high,F,1,228,1
498,F,Ship,8,3231,5,2,medium,F,3,245,1
499,D,Ship,12,1583,4,10,high,M,4,162,1
500,F,Ship,4,1628,7,4,medium,M,3,256,0
501,A,Ship,7,1378,4,5,low,F,2,255,0
502,B,Ship,10,5417,3,3,medium,F,4,270,0
503,F,Flight,52,1459,4,2,low,M,4,146,1
504,F,Ship,46,3709,5,3,medium,M,4,192,1
505,B,Flight,4,4502,4,2,low,F,2,253,1
506,F,Ship,2,4636,5,2,medium,M,2,189,1
507,A,Road,6,4547,5,4,high,F,5,271,1
508,A,Ship,18,2699,3,4,low,F,2,256,1
